Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[-0.00508971 -0.02056008  0.00428709 -0.00673607],"[array([-1.00050897e+01, -2.05600819e-02,  4.28709115e-03, -6.73607359e-03])]",0.022635721940187415,500,1,plot4D1-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.51815807 -0.04016582 -0.06220416 -0.18402684],"[array([-9.48184193, -0.04016582, -0.06220416, -0.18402684])]",0.5548299897191411,500,1,plot4D2-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.01095475  0.03360089 -0.02585428 -0.01747928],"[array([-9.98904525,  0.03360089, -0.02585428, -0.01747928])]",0.047148650684337594,500,1,plot4D3-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[-0.02004623  0.02745178  0.02418052 -0.01718696],"[array([-10.02004623,   0.02745178,   0.02418052,  -0.01718696])]",0.04511696778177709,500,1,plot4D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 1.38777367  0.47794564 -0.034136   -0.26316987],"[array([-8.61222633,  0.47794564, -0.034136  , -0.26316987])]",1.4915667728389803,500,1,plot4D5-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[-0.01110496  0.01970004 -0.01980209  0.01393829],"[array([-10.01110496,   0.01970004,  -0.01980209,   0.01393829])]",0.03313322283988546,500,1,plot4D6-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.28033697 -0.17746051  0.04801986  0.02918728],"[array([-0.18752185,  0.22632492, -0.33381998,  0.32494955]), array([-0.06347742,  0.09801432,  0.05904105,  0.20141164]), array([-0.37382578,  0.31028831, -0.25660796,  0.53683222]), array([-0.38367692,  0.08061132,  0.25507519, -0.28009072]), array([-0.27858832,  0.0905701 ,  0.36082972, -0.42404087]), array([-0.23941633, -0.19932627,  0.08628426, -0.3409805 ]), array([-0.0110645 , -0.34259386,  0.00922216,  0.14326764]), array([-0.21138348, -0.24445071,  0.07926855,  0.14031603]), array([-0.14316318, -0.03433361,  0.251826  , -0.13317076]), array([-0.01608901, -0.09427979,  0.19968445,  0.44942645]), array([-0.26154399,  0.09867893, -0.31014356, -0.06004831]), array([-0.07972089, -0.29465905, -0.21132816,  0.11606853]), array([-0.25963696,  0.05381335, -0.25991547,  0.42385708]), array([-0.28497116,  0.00353113,  0.3233341 , -0.26489861]), array([-0.56372317,  0.2316869 , -0.20430933, -0.02051217]), array([-0.15243412,  0.2030027 ,  0.17702112, -0.29661088]), array([-0.38196077,  0.16089922,  0.16576849, -0.25558565]), array([-0.39912429,  0.17930298, -0.24820932,  0.02234238]), array([-0.18893389,  0.04521899,  0.07029784, -0.27887844]), array([-0.17036396, -0.18023239,  0.05961327,  0.2409463 ]), array([-0.23783862, -0.18581049,  0.11323748, -0.25566915]), array([-0.21043479,  0.21655468,  0.20083835, -0.22125338]), array([-0.23273064, -0.01032176,  0.19964124, -0.33753636]), array([-0.2783496 ,  0.18079922,  0.2852445 , -0.24721938]), array([-0.06370942, -0.24556703, -0.19848311, -0.00574295]), array([-0.29789934,  0.07193522, -0.34472058,  0.2127776 ]), array([-0.27921208, -0.03718931,  0.1179093 ,  0.20963807]), array([-0.17812283, -0.31377323, -0.33605119,  0.14199488]), array([-0.13679262, -0.22009051, -0.30004891,  0.13373911]), array([-0.32134389,  0.07774495, -0.39054376,  0.1354844 ]), array([-0.33805711,  0.01678117, -0.31318549,  0.38440725]), array([-0.189537  ,  0.25148496,  0.19250175, -0.34101961]), array([-0.24954893, -0.14103077,  0.10269405,  0.21057437]), array([-0.2515151 , -0.11371117,  0.08126568,  0.26508895]), array([-0.32029801,  0.24160975,  0.32678684, -0.14670837]), array([-0.07348741, -0.33038236, -0.12550589, -0.00172121]), array([-0.12302545,  0.2788852 , -0.30679744,  0.31791831]), array([-0.29911626, -0.00657513,  0.22536941, -0.33245529]), array([-0.21869896, -0.27378381, -0.17634956,  0.04575128]), array([-0.32517266,  0.15464526, -0.13684632,  0.19926082]), array([-0.12623963, -0.18745669,  0.05717626,  0.16187855]), array([-0.30512096,  0.10836743,  0.19005214, -0.11443666]), array([-0.25087308, -0.16240587,  0.06556405, -0.32286114]), array([-0.32259258,  0.05976228,  0.24533862, -0.30730372])]",0.3365098082610945,500,44,plot4D1-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.0665232  -0.25681697  0.19150018 -0.35183569],"[array([-0.24813037,  0.05541778, -0.05026104,  0.20837001]), array([-0.41557834, -0.38762898, -0.22311791, -0.02179779]), array([-0.02672436, -0.04966909, -0.18282706,  0.31910574]), array([-0.3800382 ,  0.11837051,  0.30831245, -0.2706784 ]), array([-0.23946418,  0.26961287, -0.25205134,  0.40644594]), array([-0.33266671, -0.02457785,  0.34888017, -0.23488284]), array([-0.42330084, -0.21830693,  0.01956035, -0.25451546]), array([-0.22127845, -0.04151222, -0.36561171,  0.09320536]), array([-0.30527007,  0.12650816, -0.17993345,  0.19233748]), array([-0.17742877, -0.0822845 , -0.32567559,  0.22412565]), array([-0.49429479,  0.07553896,  0.62404837, -0.14737698]), array([-0.15957852,  0.31992729,  0.35137609, -0.44958549]), array([-0.30246136, -0.02680563,  0.60176913, -0.22745751]), array([-0.42777966, -0.12363425,  0.16047031, -0.04045824]), array([-0.09286203, -0.02528228, -0.27089828,  0.13305435]), array([-0.5833405 , -0.17424023,  0.1489682 , -0.19293879]), array([ 0.06868121,  0.19954329, -0.20380341,  0.14707783]), array([ 0.00920579, -0.00059899, -0.0769443 ,  0.16641847]), array([-0.25813849,  0.16672218,  0.14197259, -0.44868461]), array([-0.31903265,  0.00821755,  0.04243113, -0.04780297]), array([ 0.02764119,  0.01922324, -0.12326199,  0.14551166]), array([-0.02569991, -0.18035718, -0.37983347,  0.29308685]), array([-0.45661884, -0.18177564, -0.32502253,  0.2403329 ]), array([-0.35609346, -0.00430616,  0.14371549, -0.13324988]), array([-0.44400443,  0.18128401,  0.5944988 , -0.2292794 ]), array([-0.47141913, -0.24260567,  0.15006164, -0.2848457 ]), array([-0.16037818,  0.15576667, -0.30471104,  0.33576294]), array([-0.28517423,  0.03185522, -0.29671783,  0.3528721 ]), array([-0.12970974,  0.14585686, -0.43259607,  0.15870708]), array([-0.53882378, -0.22190553, -0.18384681,  0.05157683]), array([-0.39756535, -0.11157942,  0.1246078 , -0.13559536]), array([-0.39861672, -0.0569249 ,  0.20317241,  0.03387311]), array([-0.50966481, -0.15594034,  0.16700776, -0.23830584]), array([-9.57205557e-05,  5.32617581e-02, -2.20927227e-01,  8.99366763e-02]), array([-0.21577423,  0.16903927,  0.24227106, -0.44321017]), array([-0.37504458, -0.04302681,  0.21641749, -0.14297125])]",0.48045911547127795,500,36,plot4D2-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.01267218  0.28694626 -0.01253576  0.16815411],"[array([-0.08674641,  0.25159093, -0.38971923, -0.36078996]), array([-0.37783508,  0.06232313,  0.02843436,  0.22990828]), array([-0.07622558,  0.39063672, -0.1110589 , -0.23862581]), array([-0.57699579, -0.07367784,  0.0323735 , -0.03647259]), array([-0.45597053,  0.14428948, -0.02452079,  0.10701523]), array([-0.4474394 , -0.06494769,  0.03332822,  0.1699466 ]), array([-0.16873228,  0.14498567, -0.17074737, -0.31181111]), array([-0.59243358, -0.20532976,  0.18213718, -0.06357936]), array([-0.56671203, -0.16566592,  0.22741572,  0.09338352]), array([-0.06089945,  0.14190102, -0.33581612, -0.22675445]), array([-0.73879375, -0.13369111, -0.07331466,  0.11447955]), array([-0.48940752,  0.04245221,  0.08645211,  0.19038848]), array([-0.54934977, -0.04575352, -0.03231682, -0.0127141 ]), array([-0.51959566, -0.09475678, -0.11212332,  0.0996132 ]), array([-0.62760561, -0.10649548, -0.12722726, -0.13839674]), array([-0.54765411, -0.02128579,  0.03735723,  0.11516996]), array([-0.53092417, -0.04982021,  0.16796568,  0.2826923 ]), array([-0.49366098, -0.00343959, -0.00919217,  0.25363948]), array([-0.4098283 , -0.02885241, -0.03489028,  0.10986881]), array([-0.10384565,  0.30561689, -0.15594983, -0.42414685]), array([-0.2238225 , -0.10565697,  0.13897669, -0.17580652]), array([-0.55768007,  0.13081253,  0.15385457,  0.2142935 ]), array([-0.6360276 , -0.14241883,  0.24228335,  0.21140368]), array([-0.17448637, -0.08587041,  0.23376238, -0.03455098])]",0.33306409630721,500,24,plot4D3-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.07412386 -0.07699733 -0.00916559  0.13386347],"[array([-0.41088812, -0.29706332, -0.15965562, -0.27130958]), array([-0.45490453, -0.10715277, -0.14545888, -0.04351559]), array([-0.26021058,  0.18580458,  0.20084829,  0.16925483]), array([-0.47664982,  0.00284761, -0.13415049, -0.14813642]), array([-0.33945111,  0.12368232, -0.04476084,  0.09467296]), array([-0.57217524,  0.12365281,  0.07213066, -0.18550558]), array([-0.70854325,  0.08556306,  0.07890141,  0.09964041]), array([-0.5138346 ,  0.03375325, -0.07632986,  0.01748252]), array([-0.5378175 , -0.01902563, -0.07231618,  0.11735307]), array([-0.20381821, -0.0212892 , -0.04616975,  0.14845531]), array([-0.54357357,  0.00999166,  0.09401676,  0.0629276 ]), array([-0.56772545,  0.09145062,  0.17101983,  0.15910367]), array([-0.33543728,  0.09696326, -0.00068038,  0.1153576 ]), array([-0.62772091, -0.02173691,  0.24870013,  0.03164089]), array([-0.49841558, -0.03483153,  0.17081016,  0.14786316]), array([-0.59181452,  0.02408952,  0.25812127,  0.07224435]), array([-0.54074306, -0.01381726, -0.0365063 ,  0.01443654]), array([-0.38774018, -0.03641938,  0.0157865 , -0.07951   ]), array([-0.46298789, -0.24662031, -0.23889943, -0.29653902]), array([-0.41939258, -0.20719659, -0.3087418 , -0.1796455 ]), array([-3.32193343e-01,  7.57463092e-02, -1.98473981e-04,  3.79729819e-02]), array([-0.28808653,  0.07461055, -0.0556326 ,  0.04961927])]",0.1715411721385021,500,22,plot4D4-Model
