Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.00110064 -0.00257197 -0.00218541  0.01772886  0.01753696],"[array([-1.00011006e+01, -2.57197157e-03, -2.18540731e-03,  1.77288570e-02,
        1.75369641e-02])]",0.02518848783862806,1250,1,plot5D1-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.01210393 -0.01515907 -0.00579311 -0.00742558 -0.00921251],"[array([-1.00121039e+01, -1.51590692e-02, -5.79311011e-03, -7.42558033e-03,
       -9.21250644e-03])]",0.023449353738765298,1250,1,plot5D2-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,"[-3.32795379e-03  3.00484118e-03  8.69456025e-03  4.19405090e-03
 -4.42935046e-05]","[array([-1.00033280e+01,  3.00484118e-03,  8.69456025e-03,  4.19405090e-03,
       -4.42935046e-05])]",0.010643859714829115,1250,1,plot5D3-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.0081568   0.01340318 -0.00274588 -0.00570027  0.00663345],"[array([-1.00081568e+01,  1.34031832e-02, -2.74588430e-03, -5.70027253e-03,
        6.63344968e-03])]",0.0181718024096826,1250,1,plot5D4-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[ 0.01385937 -0.00626721 -0.00022248  0.00510074 -0.00048377],"[array([-9.98614063e+00, -6.26720753e-03, -2.22476329e-04,  5.10074275e-03,
       -4.83765621e-04])]",0.01605182282716551,1250,1,plot5D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.00188764  0.01103674  0.00279822  0.01514892  0.00250523],"[array([-1.00018876e+01,  1.10367383e-02,  2.79821649e-03,  1.51489190e-02,
        2.50522778e-03])]",0.01920855847401104,1250,1,plot5D6-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.5,0.5,0.001,[0.07281346 0.07718118 0.1376094  0.13117236 0.22467574],"[array([-0.23116882, -0.03229723, -0.05674513, -0.42436332, -0.29462931]), array([-0.29376151, -0.24259528,  0.3140615 ,  0.28990271, -0.76180318]), array([-0.18429079,  0.07665111,  0.27553517, -0.14953216,  0.15746825]), array([-0.26530442,  0.28470396, -0.16195175,  0.18663283,  0.06683341]), array([-0.38730279,  0.00207022,  0.14907189,  0.19260745,  0.3784537 ]), array([-0.44804117,  0.18992092, -0.30907805,  0.13601713, -0.17983331]), array([-0.46497067,  0.06616913, -0.16205573, -0.34015284, -0.10234525]), array([-0.06785468, -0.13334018, -0.02664003,  0.34238479,  0.45357655]), array([-0.33939241, -0.00374149, -0.09816953, -0.32876451,  0.09601729]), array([-0.45287251, -0.28139851, -0.26933284, -0.09708968, -0.13444593]), array([ 0.02080695, -0.20923687,  0.19719003, -0.07499409,  0.48069705]), array([-0.38165808,  0.01354345, -0.16824962, -0.18837194,  0.1211161 ]), array([-0.33000635,  0.18667904,  0.18507871,  0.57551682,  0.2493434 ]), array([-0.15888794, -0.19394794, -0.00630612,  0.43569928,  0.23957352]), array([-0.06904097,  0.25668873, -0.05900971, -0.20447678, -0.05187928]), array([-0.18421235,  0.04476226,  0.17237606, -0.14926831, -0.05565191]), array([-0.24902887,  0.09729265,  0.0622897 , -0.50434151,  0.09900803]), array([-0.39798076,  0.10317066,  0.01156532, -0.43394889,  0.02129318]), array([-0.20167978,  0.1107275 , -0.0113962 ,  0.35591976,  0.20993277]), array([-0.25752086, -0.15670125, -0.03779799,  0.21784695, -0.59210293]), array([ 0.03593948, -0.28452191,  0.21957787, -0.16921399,  0.50766908]), array([-0.34676428,  0.03883519, -0.0902577 , -0.40444285,  0.04561894]), array([-0.1686412 , -0.15391662, -0.02313578,  0.24741573,  0.34591614]), array([-0.18955801,  0.09301311,  0.06251631, -0.22247674, -0.00448378]), array([-0.47958314, -0.27630883, -0.25174411,  0.0627745 , -0.14748816]), array([-0.17075907, -0.14370072, -0.04192738,  0.22646165, -0.69788017]), array([-0.26791304, -0.14249766,  0.41115177,  0.32681191, -0.67755451]), array([-0.46768033, -0.19269536, -0.25109033, -0.03838833, -0.15429809]), array([-0.14951284,  0.23585414,  0.01193395, -0.23252679, -0.01739915]), array([-0.13118128, -0.08130128,  0.04778982,  0.30061181,  0.4459557 ]), array([-0.22304251, -0.01635016,  0.03962745,  0.21856088, -0.61284391]), array([-0.29554139,  0.34482395, -0.20215138,  0.22374863, -0.03131745]), array([-0.20721143,  0.17173965,  0.07840691, -0.33579213, -0.00623892]), array([-0.22337279,  0.14123003,  0.19954553, -0.15243467,  0.00813564]), array([-0.17821397, -0.16295508, -0.03926821,  0.29007209,  0.44305103]), array([-0.33033946,  0.19215956,  0.30722554,  0.4894672 ,  0.32991386]), array([-0.48749301,  0.17680461, -0.25893773, -0.14173263,  0.06801809]), array([-0.30214947, -0.04215235, -0.08208882, -0.3949676 , -0.02072076])]",0.31285851945156856,1250,38,plot5D1-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.5,0.5,0.001,[ 0.27216373  0.21085128 -0.15456726  0.19732732  0.03566871],"[array([-0.39796556, -0.37028593, -0.05046727,  0.10750616,  0.09289969]), array([-0.66863456, -0.00780152, -0.18707795, -0.27700611,  0.45316519]), array([-0.38403383, -0.20331318, -0.16900415,  0.11895391,  0.00125533]), array([-0.35852904,  0.01041801, -0.11369366,  0.1283759 , -0.05392091]), array([-0.54144513, -0.07888095,  0.05729258, -0.06042616,  0.20650653]), array([-0.39505765,  0.26432471,  0.06692972,  0.26267209,  0.02408307]), array([-0.40435776,  0.11134897,  0.30853074, -0.73111104, -0.10378451]), array([-0.3900212 ,  0.22171493, -0.07974504,  0.00049168, -0.02489641]), array([-0.61862572,  0.19284875,  0.11903762,  0.34988232, -0.1395286 ]), array([-0.42250623,  0.14476298,  0.26767598, -0.69898929, -0.31397988]), array([-0.3792262 , -0.21142292, -0.17962825,  0.08652064,  0.03849046]), array([-0.73595284,  0.18286719,  0.05361218,  0.24605111, -0.16229833]), array([-0.36977681,  0.02888885, -0.13560697,  0.24577144,  0.02817942]), array([-0.76707623,  0.24274241,  0.19409241,  0.07670209, -0.15355784]), array([-0.76103161,  0.16616336,  0.02124589,  0.33202617, -0.14905279]), array([-0.55621526, -0.07288455,  0.0383989 , -0.10423728,  0.22764791]), array([-0.35194851, -0.34925568, -0.00757881,  0.05997444, -0.1108277 ]), array([-0.39434479,  0.23656449, -0.08142327, -0.001985  , -0.00621371]), array([-0.33893694, -0.25478616, -0.25581244,  0.05923361, -0.04479682]), array([-0.4921504 , -0.04316248, -0.02134547, -0.00307936,  0.22629864])]",0.4273554932311786,1250,20,plot5D2-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.5,0.5,0.001,[-0.16932034  0.21476604  0.08561224  0.1749868   0.06588708],"[array([-0.73586053, -0.11165989, -0.0513204 ,  0.11029839,  0.05303178]), array([-0.52047185, -0.11349555,  0.18252028, -0.30542174, -0.04715427]), array([-0.09529175,  0.23234866, -0.178068  ,  0.35289839, -0.30089392]), array([-0.77091679, -0.06559624, -0.0327529 ,  0.05984037,  0.17535627]), array([-0.77399296,  0.16164477,  0.04500347,  0.1216141 ,  0.15779096]), array([-0.60005426, -0.08555426, -0.19412822,  0.17550502,  0.14959235]), array([-0.35440275, -0.04264911,  0.1235953 , -0.36912988, -0.17859343]), array([-0.6390255 ,  0.05839928,  0.05532059,  0.18228836,  0.15594594]), array([-0.36905068, -0.10851099, -0.04110633, -0.42275874, -0.27730628]), array([-0.73526829,  0.21782214,  0.15784253,  0.11895834,  0.1903545 ]), array([-0.19317828, -0.06593595, -0.27444775,  0.42386527, -0.24751372]), array([-0.38645179, -0.07195051,  0.11689144, -0.31913568, -0.01148411]), array([-0.89141641,  0.19366994,  0.00955782,  0.16746731,  0.13709752]), array([-0.82843772,  0.1308632 , -0.05752994,  0.2197795 ,  0.16104525]), array([-0.37424807, -0.16193872,  0.31047406, -0.32159644, -0.0808964 ]), array([-0.51259884, -0.08338946,  0.0294443 , -0.33611776, -0.25519258]), array([-0.73248863,  0.16239305, -0.07192452,  0.15821259,  0.15554263]), array([-0.65616525, -0.03169431, -0.04375951,  0.1584194 ,  0.1291646 ])]",0.34217652435430534,1250,18,plot5D3-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.5,0.5,0.001,[-0.32686099  0.12516358  0.33852061  0.12478618 -0.18357751],"[array([-0.19256028,  0.50503599, -0.01908808,  0.08081556,  0.49379563]), array([ 0.04859756, -0.32068339,  0.15527938,  0.14046407, -0.4134411 ]), array([-0.55127999, -0.31650381,  0.01270572, -0.10334013, -0.10137952]), array([-0.00258003, -0.05444999,  0.01371344, -0.12841006, -0.37598999]), array([ 0.19427789, -0.0959655 , -0.03525605,  0.06589719, -0.01663765]), array([-0.74417792,  0.07588654,  0.23013146, -0.025773  , -0.03634159]), array([-0.36440632, -0.06858022, -0.16309261,  0.0104732 , -0.01900144]), array([-0.51291822,  0.2358419 , -0.03094731,  0.05347097,  0.02007928]), array([-0.07613231, -0.16968607,  0.13676964,  0.02050009, -0.31628258]), array([-0.03074938, -0.09265056, -0.14872801,  0.02428164,  0.11986549]), array([-0.12230768, -0.15470417, -0.07878347,  0.15598003, -0.1932725 ]), array([-0.27909118, -0.05450285, -0.07821359,  0.02929957,  0.1609582 ]), array([-0.14290711, -0.00151687, -0.12195489,  0.0115973 ,  0.03498817]), array([-0.55753211, -0.03105162, -0.05250757,  0.25921015, -0.09978487]), array([-0.12733868,  0.1457681 ,  0.04971819,  0.05011739,  0.10198279]), array([-0.122466  ,  0.29836149, -0.06431968, -0.00071585,  0.28086221]), array([-0.50591774,  0.40748111,  0.09419148, -0.24925863, -0.18195003]), array([ 0.2155635 , -0.15639094, -0.10468847,  0.12791021,  0.05931648]), array([-0.00533641, -0.09397313,  0.11802475,  0.04964094, -0.01130681]), array([-0.5978794 ,  0.36197975,  0.03593154, -0.2022516 , -0.08088377]), array([ 0.25613244, -0.07968668,  0.08300062, -0.05445109,  0.06478715]), array([-0.45529752,  0.2187898 , -0.08678905,  0.06115087,  0.02105187]), array([-0.15192134,  0.36766417, -0.18167735, -0.04712087,  0.38743816]), array([-0.33525724, -0.22068403, -0.28059554, -0.05607511,  0.11967998]), array([ 0.01581169, -0.31841823,  0.23204174, -0.06799874, -0.23231685]), array([-0.10284519, -0.07139397, -0.03496778, -0.03321702,  0.15822548]), array([-0.51079279, -0.35284354,  0.15866853, -0.18078954, -0.28555287]), array([ 0.14047216, -0.11446875, -0.03682985, -0.17903571,  0.01658574]), array([-0.57065491,  0.09044523,  0.23877042, -0.0283195 ,  0.0430206 ]), array([-0.49394352,  0.32694378, -0.0304043 ,  0.03361799,  0.07569598]), array([-0.17212325,  0.42742612, -0.21075105,  0.00412225,  0.37636945]), array([-0.12147868, -0.00780907, -0.10405512,  0.15860921,  0.22671499]), array([-0.02619487, -0.22357804,  0.04840195, -0.0384814 , -0.37146205]), array([-0.64115061,  0.05228576,  0.15538452,  0.14463975, -0.13473532]), array([ 0.22154742, -0.10320427, -0.04845644, -0.05660277,  0.08412548]), array([-0.77046552,  0.2118654 ,  0.22575751,  0.04295224,  0.07096247]), array([-0.51667976,  0.29664563, -0.11510613,  0.02510969,  0.01779901]), array([-0.58342666, -0.38772993,  0.14418413, -0.13262508, -0.10830928]), array([-0.06506166, -0.11674882, -0.16901758,  0.03671967,  0.10799781]), array([-0.02749738, -0.33601513,  0.22967533,  0.04244504, -0.27384857]), array([-0.29071203, -0.10507217, -0.10163157,  0.09344494,  0.07220641]), array([-0.64817995,  0.15105457,  0.27403176, -0.01321765, -0.04558955])]",0.5351378549510475,1250,42,plot5D4-Model
