Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.2,0.0,0.0,0.001,[-8.83171899e-05],[array([-10.00008832])],8.831718993818072e-05,171,1,D1-FGM
[10.0],1,0.2,0.5,0.5,0.001,[-0.00795062],"[array([-1.48846277]), array([-1.08221431]), array([-0.63826469]), array([-0.73461968]), array([-0.26626534]), array([-1.41761661]), array([-0.84189368]), array([-1.13180724]), array([-1.04798808]), array([-0.48608702]), array([-0.97122263]), array([0.09849144])]",0.007950615595582633,1000,12,D1-Model
"[10.0, 0.0]",2,0.2,0.0,0.0,0.001,[0.00433894 0.01571229],"[array([-9.99566106,  0.01571229])]",0.016300377678521324,1000,1,D2-FGM
"[10.0, 0.0]",2,0.2,0.5,0.5,0.001,[ 0.0771362  -0.11644868],"[array([0.03460818, 1.00995415]), array([-1.7169679,  0.1138335]), array([0.24209298, 1.00214999]), array([-1.24436177,  0.44527395]), array([-1.10699289, -0.04067452]), array([-0.50902909, -0.83274764]), array([-0.2022652 , -0.55460101]), array([-1.02573542, -0.58778549]), array([-0.64146002, -0.09956158]), array([0.21460284, 1.57648599]), array([-0.26520048, -1.50369985]), array([-1.41609752,  0.12371504]), array([-0.83015698, -0.04394227]), array([-0.16389602, -1.37854199]), array([-0.76455251,  0.52690501]), array([-0.52745198,  0.12678806])]",0.1396792286238955,1000,16,D2-Model
"[10.0, 0.0, 0.0]",3,0.2,0.0,0.0,0.001,[ 0.00661582 -0.00950608  0.02399776],"[array([-9.99338418e+00, -9.50608438e-03,  2.39977578e-02])]",0.026646333295071715,1000,1,D3-FGM
"[10.0, 0.0, 0.0]",3,0.2,0.5,0.5,0.001,[-0.29194998  0.21294865  0.04985281],"[array([-1.15167176,  0.29328279, -0.4457844 ]), array([-1.62146655,  1.28624221,  0.91075105]), array([-0.99086919, -0.16209181,  0.30728511]), array([-0.96787591, -0.12879833,  0.46318019]), array([-1.64639396, -0.04625108, -0.48880946]), array([-1.18988028, -0.7483351 , -0.04869482]), array([-1.66857888, -0.23956873, -0.25468366]), array([-1.05521344, -0.04153131, -0.3933912 ])]",0.36478379717676235,1000,8,D3-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.2,0.0,0.0,0.001,[-0.05520774  0.03360558 -0.02197563  0.0021753 ],"[array([-1.00552077e+01,  3.36055792e-02, -2.19756255e-02,  2.17529680e-03])]",0.0682999972776154,1000,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.2,0.5,0.5,0.001,[-0.40074474 -0.03070698 -0.5464594  -0.19578905],"[array([-1.63309545,  1.62690069, -0.05876623, -0.14616519]), array([-0.95366275, -0.47376615, -0.21927794, -0.03971084]), array([-1.7562682 , -1.15394889,  0.57024723, -0.59516662]), array([-0.72684307, -0.46892105, -0.26629368,  0.11243506]), array([-0.318508  , -0.16935004,  0.36768747, -0.36932031]), array([-1.32876528, -0.1587391 ,  0.31037054,  0.54084261]), array([-0.58883983, -0.07699614, -1.09864725,  0.08226037]), array([-0.68654776, -0.54749073,  0.39998456, -0.55288799]), array([-1.24383397, -0.14859712, -0.51290176,  0.82073439]), array([-1.16438044,  1.54020156, -0.03886233, -0.04881053])]",0.7060385887988574,1000,10,D4-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.2,0.0,0.0,0.001,[-0.01149985  0.00990419  0.05426177 -0.01280525  0.08902154],"[array([-1.00114998e+01,  9.90419206e-03,  5.42617738e-02, -1.28052500e-02,
        8.90215356e-02])]",0.10612958061022552,1000,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.2,0.5,0.5,0.001,[-0.40406281 -0.39393319 -0.20665863  0.09540338  0.01686226],"[array([-2.41506758,  1.044076  , -0.1642163 , -0.1340957 ,  0.03444065]), array([-1.74572289, -0.90391605,  0.70368492, -0.92320651,  0.04389412]), array([-1.05036367, -0.55552679, -0.65630795,  1.08528848, -0.12669841]), array([-2.59109169,  0.13410214,  0.11309555, -0.52561466,  0.64265533]), array([-1.73066143,  0.47420802,  0.29254783, -0.41211253, -0.33497759]), array([-0.87115555, -0.58687652, -0.49546269,  1.0051443 , -0.24245184])]",0.6087232898635987,1000,6,D5-Model
