Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.07,0.0,0.0,0.001,[-0.00077366],[array([-10.00077366])],0.0007736601292567258,409,1,D1-FGM
[10.0],1,0.07,0.5,0.5,0.001,[0.0001075],"[array([-0.74082384]), array([-0.753258]), array([-0.54786667]), array([-0.81029318]), array([-0.94335463]), array([-0.80794518]), array([-1.00807784]), array([-0.87727744]), array([-0.78803656]), array([-0.99275975]), array([-0.81236231]), array([-0.9178371])]",0.00010750359568056922,546,12,D1-Model
"[10.0, 0.0]",2,0.07,0.0,0.0,0.001,[-0.00099635  0.00259813],"[array([-1.00009964e+01,  2.59812983e-03])]",0.002782624034308178,1000,1,D2-FGM
"[10.0, 0.0]",2,0.07,0.5,0.5,0.001,[ 0.04854385 -0.06244904],"[array([-0.45128534, -0.05541121]), array([-0.32278996, -0.44838522]), array([-0.67722791,  0.14864674]), array([-0.50785502,  0.49353206]), array([-0.60955059, -0.11394567]), array([-0.56668648,  0.16124872]), array([-0.28627607, -0.12038037]), array([-0.45680792, -0.05326431]), array([-0.62192767, -0.157985  ]), array([-0.66273257,  0.17736531]), array([-0.50747952,  0.11106593]), array([-0.65175512, -0.06879305]), array([-0.59418742,  0.14184293]), array([-0.91866455,  0.17540891]), array([-0.63340953, -0.05208576]), array([-0.13191837, -0.5456706 ]), array([-0.6769095 ,  0.24136829]), array([-0.67399261, -0.09700674])]",0.07909733564783464,1000,18,D2-Model
"[10.0, 0.0, 0.0]",3,0.07,0.0,0.0,0.001,[0.00613313 0.00799264 0.01100162],"[array([-9.99386687e+00,  7.99263696e-03,  1.10016214e-02])]",0.014917544990921896,1000,1,D3-FGM
"[10.0, 0.0, 0.0]",3,0.07,0.5,0.5,0.001,[ 0.03932085 -0.0337146  -0.11906727],"[array([-0.20799793,  0.08697105, -0.08071178]), array([-0.1824492 ,  0.10485948,  0.29202993]), array([-0.23676958, -0.01827637, -0.58313903]), array([-0.2135604 , -0.13644551, -0.04816298]), array([-0.42380892,  0.00894955,  0.33166061]), array([-0.26827544,  0.01319406,  0.10423142]), array([-0.40343902,  0.36592746,  0.33174408]), array([-0.15992064,  0.43927901, -0.00758865]), array([-0.24790839, -0.18238719, -0.33500871]), array([-0.42226799,  0.28638579, -0.10470341]), array([-0.42205046,  0.11461258,  0.41171409]), array([-0.27799299, -0.06299421,  0.39446199]), array([-0.25082344, -0.1030252 , -0.21645697]), array([-0.08705596,  0.24174521, -0.07078081]), array([-0.30710008,  0.1459212 ,  0.39706546]), array([-0.41388704,  0.14384505, -0.08150506]), array([-0.45394412, -0.06080389, -0.35836471]), array([-0.57005032,  0.15911337,  0.3119808 ]), array([-0.13629062, -0.65304664, -0.25928711]), array([-0.11908582, -0.29777418, -0.15355672]), array([-0.46997804,  0.34531751,  0.19677474]), array([-0.29091515,  0.26596013,  0.47734302]), array([-0.30446039,  0.10066822, -0.12162056]), array([-0.33353945,  0.22374272, -0.04851003]), array([-0.51211643,  0.4298742 ,  0.2573375 ]), array([-0.09601691, -0.36720172, -0.10497074]), array([-0.41407052,  0.0871938 , -0.11466194]), array([-0.15233575, -0.6942034 , -0.35492843]), array([-0.05646591, -0.32708088, -0.03793646]), array([-0.25961104,  0.2611388 , -0.30035329]), array([-0.24777461, -0.35484884, -0.19377037]), array([-0.25015051, -0.67889341, -0.26409076]), array([-0.41958433,  0.32108133,  0.3087821 ]), array([-0.34898177, -0.24251367, -0.09408448])]",0.12984536491973964,1000,34,D3-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.07,0.0,0.0,0.001,[-0.00664493 -0.02032355  0.00402643 -0.00273388],"[array([-1.00066449e+01, -2.03235457e-02,  4.02642678e-03, -2.73387982e-03])]",0.021929155657020707,1000,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.07,0.5,0.5,0.001,[ 0.15610103 -0.37004922 -0.35314953 -0.10064542],"[array([ 0.04918251, -0.32594492, -0.0977899 ,  0.00309239]), array([-0.39037835, -0.04123519, -0.01971751, -0.17187348]), array([-0.54551709, -0.13965807,  0.55881851,  0.17608824]), array([-0.26953152,  0.26148801,  0.54807952, -0.13655285]), array([-0.43066442, -0.55167619, -0.84138917, -0.62831725]), array([-0.36375638,  0.16393565,  0.30305749, -0.12123922]), array([0.0825883 , 0.61323602, 0.30198267, 0.58736722]), array([-0.81663339,  0.12681557,  0.37439226, -0.01836148]), array([-0.01265895, -0.41487076, -0.3773031 , -0.3037714 ]), array([-0.08301068,  0.50301739,  0.10259793,  0.56629928]), array([-0.52276225,  0.2469923 ,  0.03732688,  0.0563512 ]), array([-0.68695123,  0.20494404,  0.03111843,  0.01489371]), array([-0.2904472 , -0.57501439, -0.3722904 , -0.70189735]), array([-0.65126963,  0.23760056, -0.08150107, -0.17155285]), array([-0.41844614, -0.51850293, -0.2708868 , -0.71821125]), array([-0.53536566,  0.02916259,  0.27515846,  0.0023291 ]), array([ 0.25695737, -0.13242881,  0.08596277,  0.20154124]), array([-0.3749427 , -0.49151265, -0.6317677 , -0.53436995]), array([0.04912122, 0.08645304, 0.14719472, 0.43173819]), array([-0.3472398 ,  0.27300962, -0.09719236, -0.09982534]), array([-0.04202428,  0.06444881, -0.09844264, -0.06056581]), array([0.12283152, 0.42373918, 0.06744407, 0.53472286]), array([-0.20773375, -0.25402001, -0.61019427, -0.66560937]), array([0.03515664, 0.2162923 , 0.09634415, 0.55681814]), array([-0.27984996,  0.13066557,  0.29685489, -0.07022638]), array([-0.62050468,  0.04996023,  0.53123375, -0.02335786]), array([-0.00869947,  0.09869944,  0.12764403,  0.44984165]), array([-0.29335568, -0.46658224, -0.14684979, -0.71672213]), array([-0.04293383,  0.07275344,  0.10335594,  0.43175168]), array([-0.31435643,  0.03653718,  0.13052695, -0.12934205]), array([-0.8255287 ,  0.37220197,  0.06970119, -0.03822921]), array([-0.52170757, -0.05820746, -0.12687706, -0.03360742]), array([-0.69042221,  0.25365266,  0.07818878, -0.16648   ]), array([ 6.11000329e-04, -6.88474651e-01, -3.37071980e-01, -2.60574786e-01]), array([-0.5108071 , -0.50849421, -0.68415641, -0.81714235]), array([ 2.36915567e-01, -4.24238723e-04,  1.91165381e-02,  4.81785172e-01]), array([0.10061141, 0.08187443, 0.08106038, 0.50049928]), array([ 0.12879024, -0.03203231, -0.13616488,  0.45165026]), array([0.10010182, 0.43515608, 0.18741505, 0.56723089]), array([ 0.0907325 , -0.15360625,  0.02187016,  0.47318387])]",0.5441948560603346,1000,40,D4-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.07,0.0,0.0,0.001,[-0.0227634  -0.00386293 -0.00075542  0.00897175  0.01917725],"[array([-1.00227634e+01, -3.86293313e-03, -7.55419301e-04,  8.97174932e-03,
        1.91772470e-02])]",0.0313356762634572,1000,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.07,0.5,0.5,0.001,"[ 2.58687734e-01  2.41491907e-01 -7.20156759e-03  2.25715598e-04
 -2.40315547e-01]","[array([-0.97918449,  0.06858337, -0.34213429, -0.03877984,  0.13037072]), array([-0.85207881,  0.14254286,  0.01170738, -0.09977908,  0.00178141]), array([-0.69258092, -0.22902197,  0.19477411, -0.08804951, -0.16158806]), array([-0.41581562, -0.05662658, -0.14376662,  0.3155197 , -0.03223409]), array([-0.82625602, -0.0127431 ,  0.17412959, -0.19637042,  0.10392269]), array([-0.88778637,  0.12913647,  0.30016376, -0.06149905, -0.11491837]), array([-1.09747802,  0.01009048,  0.04788118, -0.10066003, -0.19017998]), array([-0.90686845,  0.18332759,  0.27538654, -0.013687  , -0.1478922 ]), array([-0.5124259 , -0.16956934, -0.10512256,  0.23999573,  0.16103451]), array([-0.97864601,  0.22879151,  0.28750607, -0.05538995, -0.05286986]), array([-0.61422871, -0.19034167, -0.23686674,  0.10522044, -0.02444686]), array([-0.97796295,  0.13732228, -0.47086   , -0.00629526,  0.08670454])]",0.42783309923803003,1000,12,D5-Model
