Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.07,0.0,0.0,0.001,[8.78793342e-05],[array([-9.99991212])],8.787933420428828e-05,460,1,D1-FGM
[10.0],1,0.07,0.5,0.5,0.001,[-0.00661448],"[array([-0.71984383]), array([-0.51317856]), array([-0.50940582]), array([-0.87231414]), array([-0.60941872]), array([-0.77979694]), array([-0.5954056]), array([-0.47145254]), array([-0.72596767]), array([-0.49625449]), array([-0.56995909]), array([-0.42290205]), array([-0.71268581]), array([-0.62508115]), array([-0.64091886]), array([-0.74202923])]",0.006614478368526022,1000,16,D1-Model
"[10.0, 0.0]",2,0.07,0.0,0.0,0.001,[0.0010695  0.00120103],"[array([-9.99893050e+00,  1.20102665e-03])]",0.001608193013462666,1000,1,D2-FGM
"[10.0, 0.0]",2,0.07,0.5,0.5,0.001,[-0.01842257  0.04188238],"[array([-0.6794762 ,  0.08226951]), array([-0.42561513, -0.23873558]), array([-0.31165375, -0.34376926]), array([-0.70441555,  0.0018849 ]), array([-0.71272046,  0.09486968]), array([-0.56823813, -0.07187334]), array([-0.61776816,  0.54248881]), array([-0.4061139 , -0.08187544]), array([-0.67881705,  0.04068621]), array([-0.61179829, -0.05225595]), array([-0.55525904, -0.22305732]), array([-0.92180734,  0.02476106]), array([-0.78205909,  0.17998123]), array([-0.69077999,  0.15925703]), array([-0.55105988, -0.09651855]), array([-0.8008406 ,  0.02376943])]",0.045755053613152345,1000,16,D2-Model
"[10.0, 0.0, 0.0]",3,0.07,0.0,0.0,0.001,[-0.0024374   0.01669021  0.00195324],"[array([-1.00024374e+01,  1.66902129e-02,  1.95323908e-03])]",0.01697996614251,1000,1,D3-FGM
"[10.0, 0.0, 0.0]",3,0.07,0.5,0.5,0.001,[ 0.08959303 -0.01209011  0.26757086],"[array([-0.17589924, -0.26845269,  0.13870281]), array([-0.61570726, -0.12993664, -0.17606308]), array([-0.75579857, -0.1737632 ,  0.15145543]), array([0.00099051, 0.03835089, 0.11417636]), array([-0.68199592, -0.25912235, -0.23520741]), array([-0.17007663,  0.06984616, -0.11206567]), array([-0.77066992, -0.32504604,  0.14714655]), array([-0.13952128,  0.33505187,  0.05365956]), array([-0.03838327,  0.06318201,  0.08177846]), array([-0.66770275, -0.34810833, -0.25617333]), array([-0.02606207,  0.16325266, -0.14681538]), array([-0.60071057, -0.13466436,  0.02439785]), array([-0.08708001,  0.17509957,  0.0789535 ]), array([-0.00527103, -0.02154697,  0.18520121]), array([-0.0352664 ,  0.33217435,  0.21441631]), array([-0.14514702,  0.20662346, -0.10759932]), array([-0.51964918, -0.2794972 ,  0.16854269]), array([-0.22401473,  0.02454269, -0.2184147 ]), array([-0.3607079 ,  0.01802869,  0.03569557]), array([-0.26537286,  0.31027208,  0.11637565]), array([-0.1196498 ,  0.3393489 ,  0.21681215]), array([-0.19033983,  0.21858661, -0.07610005]), array([-0.6428353 , -0.39393881, -0.09914385]), array([-0.15206191, -0.01367628, -0.34906551]), array([-0.04533229,  0.2212721 ,  0.21875705]), array([-0.40756252, -0.22390995,  0.33909629]), array([-0.45803666, -0.37678676,  0.20766582]), array([-0.01850386,  0.26641446,  0.10395139]), array([-0.01441152, -0.02259349,  0.13559798]), array([-0.3566086 ,  0.05531139, -0.26681475]), array([-0.16655102,  0.08988896, -0.24819053]), array([-0.2488495 ,  0.22092293,  0.18878764]), array([-0.67553953, -0.21864889, -0.00671157]), array([-0.13007853,  0.02943209, -0.35523426])]",0.2824309559485087,1000,34,D3-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.07,0.0,0.0,0.001,[ 0.00962547 -0.02322103  0.00883731  0.0061685 ],"[array([-9.99037453e+00, -2.32210297e-02,  8.83730962e-03,  6.16850469e-03])]",0.027349852627093562,1000,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.07,0.5,0.5,0.001,[0.01137899 0.00428959 0.21059611 0.08644371],"[array([-0.47693949,  0.13686989, -0.08993277, -0.57288304]), array([-0.24363153,  0.13840449, -0.19839835,  0.38981935]), array([-0.64299627, -0.08026623,  0.03731244,  0.43077855]), array([-0.52448264, -0.06807389, -0.15051919, -0.65687833]), array([-0.45594849,  0.02463311, -0.03163863, -0.8695376 ]), array([-0.26420649, -0.14019965,  0.17263699,  0.11106307]), array([-0.41650953,  0.06020176,  0.11352521,  0.16265931]), array([-0.45220778, -0.05660383,  0.06079007,  0.5025322 ]), array([-0.47555262, -0.45998651, -0.11030018,  0.2842258 ]), array([-0.35976333,  0.24054517,  0.06956943,  0.35092567]), array([-0.48964834, -0.20727403,  0.21677712,  0.36626097]), array([-0.20595398,  0.0617629 , -0.07878634, -0.12682561]), array([-0.34066725,  0.10204449,  0.24079946, -0.09322051]), array([-0.35814283, -0.17001733,  0.19603654,  0.47754174]), array([-0.22120044,  0.01125075,  0.10714644, -0.24097047]), array([-0.41691582, -0.06462827, -0.03297434, -0.79138521]), array([-0.32783764,  0.27623073,  0.04538623,  0.34302214]), array([-0.32702549, -0.27811778,  0.35128358,  0.36618749]), array([-0.40894595,  0.04429021,  0.06598256,  0.17562059]), array([-0.419334  ,  0.12682287, -0.11111353, -0.48542893]), array([-0.33817087,  0.30334674, -0.14969024,  0.35848069]), array([-0.5222227 , -0.00172202, -0.16656697, -0.70504535]), array([-0.32759316,  0.27591819, -0.2438486 ,  0.2896697 ]), array([-0.37575449, -0.23829621, -0.2203963 , -0.62679565]), array([-0.30086547,  0.29105728, -0.14829608,  0.32414857]), array([-0.29610442, -0.32390326,  0.26581156,  0.32247859])]",0.2279717500587443,1000,26,D4-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.07,0.0,0.0,0.001,[ 0.00883833  0.01159852 -0.00392737  0.01902198  0.00167127],"[array([-9.99116167e+00,  1.15985182e-02, -3.92737102e-03,  1.90219813e-02,
        1.67126942e-03])]",0.024345326778870947,1000,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.07,0.5,0.5,0.001,[ 0.23444995  0.27114114  0.19057658 -0.03685929  0.0152562 ],"[array([-0.71174998, -0.06975304,  0.18640927, -0.23318424,  0.624376  ]), array([-0.14643055,  0.06889583, -0.16413927,  0.22042832, -0.28950601]), array([-0.34817766,  0.10401264,  0.30212507,  0.35111545,  0.28549642]), array([-0.64017859,  0.09045375,  0.25728243, -0.23422568,  0.12222316]), array([-0.35079327, -0.35841604,  0.19999662, -0.2451673 , -0.01401534]), array([-0.45856863,  0.03247717, -0.37583319,  0.51491536,  0.08622882]), array([-0.73737261, -0.21868578, -0.10672559, -0.13305722, -0.58149115]), array([-0.38343165,  0.09784641, -0.42604629,  0.55168135,  0.0429787 ]), array([-0.32117641,  0.16433736, -0.18792522,  0.39314956, -0.25359222]), array([-0.53672925, -0.21248261,  0.02271335, -0.14095979,  0.2710812 ]), array([-0.42084189,  0.1698937 , -0.30513285,  0.45926408, -0.06266615]), array([-0.49947185,  0.09396995, -0.0721084 , -0.20171819,  0.12504009]), array([-0.36459451,  0.14939486, -0.06816687,  0.17566719, -0.2920469 ]), array([-0.56026578, -0.0250476 ,  0.24111218, -0.41669954, -0.05987521]), array([-0.50255505, -0.08885523,  0.2295645 , -0.3966015 , -0.01697927]), array([-0.68437196,  0.00079447, -0.01364365, -0.22843446,  0.15648121]), array([-0.45064346,  0.10806536,  0.25403507, -0.33959318,  0.00458346]), array([-0.44957266,  0.23924798, -0.052287  ,  0.29848676, -0.46214184]), array([-0.57187102, -0.12135544, -0.0183688 , -0.18748101,  0.3479494 ]), array([-0.62675327,  0.04634739,  0.28771522, -0.24444526, -0.01886816])]",0.4079155399901466,1000,20,D5-Model
