Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.05,0.0,0.0,0.001,[-0.00041943],[array([-10.00041943])],0.0004194257963625603,556,1,D1-FGM
[10.0],1,0.05,0.0,0.0,0.001,[-0.00120313],[array([-10.00120313])],0.0012031309920583766,600,1,D1-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[ 0.0053553  -0.00189216],"[array([-9.99464470e+00, -1.89216242e-03])]",0.005679748718661479,600,1,D2-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[-0.0084352  0.0066084],"[array([-1.00084352e+01,  6.60840389e-03])]",0.010715580315295476,600,1,D2-FGM
"[10.0, 0.0, 0.0]",3,0.05,0.0,0.0,0.001,[ 0.01990284 -0.04795028 -0.02020585],"[array([-9.98009716, -0.04795028, -0.02020585])]",0.055710225100715244,600,1,D3-FGM
"[10.0, 0.0, 0.0]",3,0.05,0.0,0.0,0.001,[ 0.00126692  0.00643416 -0.00405239],"[array([-9.99873308e+00,  6.43415784e-03, -4.05239461e-03])]",0.007708784940271845,600,1,D3-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[-0.02222279 -0.01616222 -0.01174471 -0.00912075],"[array([-1.00222228e+01, -1.61622163e-02, -1.17447127e-02, -9.12075258e-03])]",0.031244136148647475,600,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.02399373 -0.00765271  0.00323757  0.02394652],"[array([-9.97600627e+00, -7.65271142e-03,  3.23756957e-03,  2.39465237e-02])]",0.034902451226949856,600,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.00188418  0.0036535  -0.01660876 -0.02694956 -0.01639013],"[array([-1.00018842e+01,  3.65349968e-03, -1.66087627e-02, -2.69495568e-02,
       -1.63901286e-02])]",0.03588403709596205,600,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.01193879  0.04327254 -0.00286822 -0.01382733 -0.03715746],"[array([-1.00119388e+01,  4.32725447e-02, -2.86821639e-03, -1.38273253e-02,
       -3.71574649e-02])]",0.05995954143986605,600,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[-0.03850405 -0.015656    0.00215886  0.01437666  0.00225521  0.00290036],"[array([-1.00385041e+01, -1.56559961e-02,  2.15886083e-03,  1.43766647e-02,
        2.25520952e-03,  2.90035875e-03])]",0.04418732289375616,600,1,D6-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[-0.01945101  0.05801517 -0.01044237 -0.04022744 -0.00141639  0.02619905],"[array([-1.00194510e+01,  5.80151656e-02, -1.04423689e-02, -4.02274436e-02,
       -1.41638975e-03,  2.61990510e-02])]",0.07848431663568561,600,1,D6-FGM
