Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.05,0.5,0.5,0.001,[-0.00269509],"[array([-0.2352153]), array([-0.35478991]), array([-0.28009761]), array([-0.21145144]), array([-0.33861911]), array([-0.30223773]), array([-0.2599461]), array([-0.48312203]), array([-0.61315545]), array([-0.40016743]), array([-0.46744922]), array([-0.54012334]), array([-0.25669052]), array([-0.47732974]), array([-0.37958356]), array([-0.71333998]), array([-0.07664087]), array([-0.33335606]), array([-0.17432639]), array([-0.39547113]), array([-0.5480663]), array([-0.38969907]), array([-0.10697495]), array([-0.47263922]), array([-0.4111583]), array([-0.32314474]), array([-0.20508119]), array([-0.2528184])]",0.0026950917703132404,600,28,D1-Model
[10.0],1,0.05,0.5,0.5,0.001,[0.00102958],"[array([-0.08649884]), array([-0.15565221]), array([-0.35321983]), array([-0.03718036]), array([0.00109332]), array([-0.37956515]), array([-0.35994267]), array([-0.12356431]), array([-0.44217496]), array([-0.17543598]), array([0.09849091]), array([0.0965607]), array([-0.3852529]), array([-0.28234769]), array([-0.63654192]), array([-0.31161278]), array([-0.39999647]), array([-0.42578239]), array([-0.24633236]), array([-0.30002397]), array([-0.48744854]), array([-0.34554765]), array([-0.22245452]), array([-0.38037378]), array([-0.31739376]), array([-0.35703129]), array([-0.35770614]), array([-0.32643263]), array([-0.40097305]), array([0.06391566]), array([0.06945421]), array([-0.23301965]), array([-0.06975269]), array([-0.38055156]), array([-0.2746789]), array([-0.1184107]), array([-0.31175284]), array([-0.64383274])]",0.0010295777344548895,600,38,D1-Model
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[ 0.02782183 -0.01933646],"[array([-0.14704079,  0.09125508]), array([-0.40946976, -0.0925624 ]), array([-0.57275131,  0.00553796]), array([-0.22050095,  0.07840389]), array([-0.40085976,  0.04061944]), array([-0.42300535, -0.34892561]), array([-0.21236664,  0.0727237 ]), array([-0.2947665 ,  0.22575991]), array([-0.44057314, -0.00246964]), array([-0.47566202, -0.04791635]), array([-0.43922626,  0.19953807]), array([-0.24736101, -0.00157278]), array([-0.38605159,  0.0690915 ]), array([-0.6640314 , -0.17866193]), array([-0.26551987,  0.14327976]), array([-0.51219527,  0.0719047 ]), array([-0.4391205 , -0.43171669]), array([-0.23604262,  0.19782693]), array([-0.12394955, -0.03050374]), array([-0.31725139,  0.07220911]), array([-0.34621492,  0.18085622]), array([-0.36302655,  0.03279902]), array([-0.43361961, -0.04094198]), array([-0.52411782, -0.08267333]), array([-0.58977393,  0.00642664]), array([-0.48767968, -0.24962396])]",0.03388145355225881,600,26,D2-Model
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[-0.00420443 -0.05870217],"[array([-0.48908573, -0.05728418]), array([-0.29814414, -0.10187586]), array([-0.35308363, -0.1047266 ]), array([-0.34638921, -0.06011191]), array([-0.33909148,  0.03685215]), array([-0.30808175,  0.02568393]), array([-0.23257738, -0.09947072]), array([-0.23971024,  0.32285269]), array([-0.42686621,  0.09335091]), array([ 0.03543051, -0.11596071]), array([-0.33060356,  0.03723709]), array([-0.40962244,  0.08416211]), array([-0.25199198, -0.15412179]), array([-0.14069571,  0.09908222]), array([-0.19884609,  0.01358107]), array([-0.40085107,  0.04524042]), array([-0.52029706, -0.06796428]), array([-0.30158227,  0.06885298]), array([-0.2437972 ,  0.00994624]), array([ 0.02099882, -0.21032471]), array([-0.32159799, -0.07460113]), array([-0.40285108,  0.08766618]), array([-0.25390263,  0.03437558]), array([-0.27810775,  0.00713603]), array([-0.45100991, -0.00310142]), array([-0.14859315, -0.03420731]), array([-0.10170923, -0.07682229]), array([-0.13190657, -0.00345422]), array([-0.22338025,  0.02142765]), array([-0.12844861, -0.00333112]), array([-0.27709476, -0.03909231]), array([-0.36019743,  0.07336741]), array([-0.45917452,  0.0443997 ]), array([-0.37808638, -0.0452639 ]), array([-0.18122238,  0.02972587]), array([-0.13203397,  0.05807204])]",0.05885254199595314,600,36,D2-Model
"[10.0, 0.0, 0.0]",3,0.05,0.5,0.5,0.001,[ 0.09041118 -0.24744972  0.15232137],"[array([-0.24770932, -0.11670287, -0.12634088]), array([-0.23320564,  0.05912362, -0.44903179]), array([-0.66588317,  0.00740019, -0.02833236]), array([-0.59067566, -0.25748139, -0.12864399]), array([-0.13098668, -0.23362192,  0.00125248]), array([-0.11734176, -0.19837134,  0.07015802]), array([ 0.03227092,  0.09911988, -0.06560768]), array([-0.3969062 ,  0.23436094, -0.2214594 ]), array([-0.16956275, -0.25228962,  0.3476503 ]), array([-0.18614637,  0.29383637, -0.49003633]), array([-0.53278066, -0.02676955,  0.04739736]), array([-0.26360465,  0.31073804,  0.1859226 ]), array([-0.10501374, -0.19391739,  0.09637343]), array([0.17372574, 0.23455587, 0.0216522 ]), array([ 0.0086862 , -0.22715407, -0.08717787]), array([-0.63905726, -0.13119536,  0.13188362]), array([-0.10438086, -0.22404833,  0.17779795]), array([-0.11792375, -0.27389499,  0.16423768]), array([-0.23242295,  0.07968573,  0.02059372]), array([-0.22861236,  0.23127748,  0.14349351]), array([-0.55429686,  0.04199302,  0.09302409]), array([-0.16582386, -0.08570616,  0.02690312]), array([-0.15634332, -0.02877508, -0.05286363]), array([-0.23442556,  0.42279276,  0.20741876]), array([-0.01078475, -0.23315336, -0.01814046]), array([-0.07341387, -0.18163272, -0.05245009]), array([-0.24320029,  0.0518591 ,  0.18705781]), array([-0.06784977, -0.21196452,  0.30595615]), array([-0.13590671,  0.38113154,  0.19394452]), array([ 0.06696575, -0.14437035, -0.05351897]), array([-0.16399894, -0.18479805,  0.28749271]), array([-0.28694875,  0.0716594 , -0.22034431]), array([-0.36008563, -0.13942723,  0.12979305]), array([-0.62847748, -0.03929129,  0.04541095]), array([-0.18117767,  0.23745075,  0.04846963]), array([-0.18353588, -0.15059541, -0.09095998]), array([-0.55183838, -0.04294135,  0.06283053]), array([-0.12240201,  0.26209397, -0.50602613]), array([-0.43135951,  0.25886296, -0.18072535]), array([-0.11823779, -0.17720083,  0.16940489]), array([-0.02005627, -0.24880139, -0.04188292]), array([-0.1709118 ,  0.09740153,  0.06320867]), array([-0.18837367,  0.1677881 ,  0.06559844]), array([-0.17957487,  0.21352358, -0.32906269])]",0.3043145509917405,600,44,D3-Model
"[10.0, 0.0, 0.0]",3,0.05,0.5,0.5,0.001,[-0.00151911 -0.19347425 -0.1083187 ],"[array([-0.7229443 ,  0.27700339, -0.05405465]), array([-0.15198813,  0.00518736,  0.40603429]), array([-1.27881494, -0.12687229, -0.0132139 ]), array([-0.82917745, -0.2009576 , -0.16374417]), array([-1.15958003,  0.07391767, -0.06564067]), array([-1.07361852, -0.08008692, -0.01358827]), array([-0.20459467, -0.10743491,  0.26445174]), array([-0.73610736,  0.21173092, -0.16491673]), array([-1.05158697,  0.03996252, -0.01690398]), array([-0.76948247, -0.2070944 , -0.16188357]), array([-1.26105877, -0.22995838,  0.03512245]), array([-0.7625655 ,  0.15112839, -0.15998122])]",0.22173753201598512,600,12,D3-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.25154976  0.12302567 -0.11003185 -0.26532577],"[array([-0.28501518, -0.06798304, -0.12441382, -0.26321645]), array([-0.53979787,  0.08122561,  0.28370726,  0.00420811]), array([-0.22862998,  0.00813764,  0.18279688, -0.27548419]), array([-0.37136416,  0.03254281, -0.10668414,  0.02411498]), array([-0.44553274,  0.05245664, -0.09416884,  0.13656841]), array([-0.26384618,  0.27145997,  0.16664494, -0.25734888]), array([-0.66850784, -0.29739486, -0.07867487,  0.34246767]), array([-0.7166893 , -0.28340586,  0.08388723,  0.18737228]), array([-0.52679733,  0.25088546,  0.32396723, -0.0043763 ]), array([-0.1487747 , -0.08434755, -0.08982327, -0.05009203]), array([-0.60410405, -0.21526607, -0.04437299,  0.27338535]), array([-0.09594112,  0.18345267,  0.12792026, -0.25825428]), array([-0.03461588,  0.05795527, -0.14299403,  0.17802629]), array([-0.04422679,  0.03919382, -0.27980311, -0.06827287]), array([-0.08494859,  0.25733716, -0.29495352, -0.12806857]), array([-0.14867966, -0.03864614,  0.01232048,  0.13364306]), array([-0.23967458,  0.25548289, -0.35763904, -0.01220067]), array([-0.41062403, -0.21827996, -0.0943525 ,  0.17224776]), array([-0.49991967, -0.25556041, -0.08754214,  0.19394168]), array([-0.32741349, -0.03344764, -0.16046513, -0.13142786]), array([-0.63796842, -0.35069959, -0.13138031,  0.12720635]), array([-0.55531953,  0.0992601 ,  0.24370204,  0.00285314]), array([-0.27631852,  0.13449754,  0.21124326, -0.18813974]), array([-0.28578611,  0.21549772,  0.28901569, -0.25462382]), array([-0.28900903, -0.00209375, -0.17729446, -0.06938251]), array([-0.33977556,  0.20140347,  0.18583356, -0.13998154]), array([-0.62910409, -0.36100738, -0.1790169 ,  0.17915393]), array([-0.55316535,  0.19036916,  0.22250838, -0.11964506])]",0.4011450741028661,600,28,D4-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.10686857 -0.07970372  0.01556205  0.05508528],"[array([-0.24563959, -0.12467076, -0.12332849,  0.06219723]), array([-0.62849743, -0.32516497, -0.09854479,  0.23596343]), array([-0.36474895,  0.0102087 , -0.23656327, -0.17985445]), array([-0.45476786,  0.06107631,  0.07611465, -0.04448602]), array([-0.33395842, -0.17124483,  0.03485563, -0.18838227]), array([-0.55266524,  0.06555906, -0.03550075,  0.1658532 ]), array([-0.40681341,  0.18966132,  0.18112558,  0.30479035]), array([-0.68718022, -0.08477726,  0.04696202, -0.0376537 ]), array([-0.46073655,  0.10579103,  0.10294154, -0.13460039]), array([-6.45704846e-01,  4.97242716e-04,  8.02499423e-02, -5.89245988e-02]), array([-0.62597156, -0.02296647,  0.02862003, -0.19868129]), array([-0.40988937,  0.04736014,  0.08545977, -0.21716363]), array([-0.39527689,  0.13505486,  0.09047189,  0.13271991]), array([-0.3526659 ,  0.01229735, -0.13302597,  0.09088788]), array([-0.48801905, -0.00806658, -0.00321684,  0.1433742 ]), array([-0.54698243,  0.03687482,  0.05999012, -0.13163161]), array([-0.52202225, -0.03496722,  0.10424022, -0.1484885 ]), array([-0.23989836,  0.09740576, -0.05338459,  0.03397509]), array([-0.36572576,  0.0065165 , -0.12606243,  0.09627236]), array([-0.3769786 ,  0.0976617 , -0.08995694,  0.10727283]), array([-0.4493543 ,  0.0605588 ,  0.10437032, -0.20843196]), array([-0.55337159, -0.23436921, -0.08025559,  0.23007721])]",0.1450866600983402,600,22,D4-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.5,0.5,0.001,[ 0.17513335  0.11353987 -0.19202982 -0.3597611   0.40547091],"[array([-0.05479383,  0.04233758,  0.05420171, -0.01972589, -0.41391871]), array([-0.14588426, -0.18752505, -0.09780386,  0.18455209, -0.21584731]), array([-0.45465935, -0.33280264, -0.25098043, -0.03972955, -0.31524195]), array([-0.19997216, -0.12133954, -0.01438658, -0.02325402,  0.03870098]), array([-0.55007812, -0.22727826, -0.20626644,  0.09888913,  0.12967399]), array([-0.40295118,  0.25120567,  0.34783501, -0.033424  ,  0.16536878]), array([ 0.02727319,  0.16817104,  0.04984453, -0.08588383, -0.06775252]), array([-0.32235156,  0.19550466,  0.19035937,  0.08279361, -0.26839401]), array([-0.32139511, -0.33612533, -0.08033953, -0.13391434, -0.11506005]), array([-0.21125821, -0.26857328, -0.1089753 , -0.15368324, -0.02735306]), array([-0.26098345,  0.04869997,  0.28789242,  0.07447807, -0.36404872]), array([-0.11923766,  0.08693401, -0.10216104, -0.12070984, -0.05860389]), array([-0.10145162,  0.1504694 , -0.12404924, -0.02038568,  0.07787684]), array([-0.17313469,  0.03827942, -0.1102134 , -0.21603933, -0.08044036]), array([-0.33574562, -0.38274599, -0.14115951,  0.07647355, -0.07366079]), array([-0.31212095,  0.17414047,  0.27311202,  0.18240941,  0.05740537]), array([-0.30151409,  0.20732725,  0.09525765,  0.38482356,  0.23511594]), array([ 0.06487443,  0.00802029,  0.0818554 , -0.10671964,  0.15730793]), array([-0.16863187,  0.28125151, -0.19051195, -0.02558364, -0.15980959]), array([-0.03416816,  0.05520223,  0.01737646, -0.50346877,  0.26389612]), array([-0.20375326,  0.04022035, -0.16272395,  0.06152127,  0.03905004]), array([-0.34218815,  0.15279926,  0.22398605,  0.14279364,  0.0326479 ]), array([-0.28836136, -0.20166824, -0.13158578,  0.13487274, -0.07296577]), array([-0.43384576, -0.39238977, -0.19676949,  0.13485499, -0.00969868]), array([-0.02823643, -0.05150782, -0.07940881,  0.01845941,  0.04680448]), array([-0.02496928,  0.2579396 , -0.18536613,  0.03707373, -0.10153755]), array([-0.37824993, -0.20048781, -0.25496844, -0.21885696, -0.07926313]), array([ 0.03436502,  0.02837349, -0.12691086, -0.35127695,  0.33642652]), array([-0.37271241,  0.34230978,  0.35602048,  0.22348832,  0.09800837]), array([-0.50934543,  0.35446757,  0.39913494,  0.04389394,  0.12349075]), array([-0.43157457,  0.32645553,  0.46304584, -0.01779022,  0.19233748]), array([-0.47800717, -0.30661292, -0.20488551,  0.14599394, -0.00129662]), array([-0.46867021,  0.42814539,  0.35433185, -0.03891926,  0.14594276]), array([-0.14732364,  0.03104649, -0.15681975,  0.04933997, -0.02401216]), array([-0.28075225, -0.48402825, -0.28075314,  0.05268594,  0.06047271]), array([-0.04195532,  0.10308582, -0.03821808, -0.3813815 ,  0.34118289]), array([ 0.0122322 ,  0.11829739, -0.14507942, -0.40272517,  0.30386443]), array([-0.28335338, -0.33394187, -0.0879093 ,  0.12878787, -0.08691063]), array([-0.10160715,  0.09639168, -0.18251637, -0.12229642, -0.01591132]), array([-0.27386534,  0.31407764,  0.39726134,  0.15001697,  0.00904942]), array([-0.35279572, -0.35531736, -0.08663727,  0.18350629,  0.11719339]), array([-0.0517128 , -0.00526947, -0.03614535,  0.06429876, -0.01461932])]",0.6117786797309901,600,42,D5-Model
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.5,0.5,0.001,[-0.18172971 -0.01547466 -0.1225868  -0.03856853  0.21891538],"[array([-0.84125343, -0.0082614 ,  0.16288583,  0.28167676, -0.09856588]), array([-0.32382788,  0.0500907 ,  0.18333311, -0.13024725,  0.15209722]), array([-0.4784799 , -0.14351836, -0.1845212 ,  0.20854312,  0.34274347]), array([-0.6487038 , -0.09710269,  0.10829415,  0.13505684, -0.56266878]), array([-0.85764688, -0.29590664, -0.06040416,  0.08681932,  0.27629014]), array([-0.5245656 ,  0.23125641,  0.05124656, -0.10042656, -0.3146455 ]), array([-0.6270697 , -0.02512119, -0.06438694,  0.19112393,  0.12058017]), array([-0.38035806, -0.14093621, -0.14478807,  0.23881833,  0.27372799]), array([-0.55944666,  0.16841097, -0.03556144,  0.06493665, -0.21929901]), array([-0.48151556,  0.05127021,  0.03527956, -0.18777398,  0.2458647 ]), array([-0.43490273,  0.12492495, -0.08455615, -0.33087582,  0.06328652]), array([-0.51389057,  0.0721009 , -0.17008803, -0.03267935, -0.26173521]), array([-0.38196645,  0.18835072, -0.0272645 , -0.28702639,  0.13404673]), array([-0.43676816,  0.15282569, -0.12096523, -0.40267832,  0.26666765]), array([-0.87221403, -0.34010134, -0.08940608,  0.06251453,  0.25862625]), array([-0.80195476, -0.0625181 ,  0.16499887,  0.30020614, -0.18903581]), array([-0.42749868,  0.11446505,  0.04770412, -0.23545146,  0.25264161]), array([-0.58966687, -0.05570433,  0.1056128 ,  0.09889498, -0.52170688])]",0.3125766319357361,600,18,D5-Model
