Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.05,0.0,0.0,0.001,[0.00139221],[array([-9.99860779])],0.0013922104878005825,600,1,D1-FGM
[10.0],1,0.05,0.0,0.0,0.001,[-0.00014258],[array([-10.00014258])],0.0001425829896142261,543,1,D1-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[-0.00605453 -0.00227201],"[array([-1.00060545e+01, -2.27200718e-03])]",0.00646678730058971,600,1,D2-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[0.0012803 0.0108913],"[array([-9.9987197,  0.0108913])]",0.010966293213190906,600,1,D2-FGM
"[10.0, 0.0, 0.0]",3,0.05,0.0,0.0,0.001,[-0.01042431  0.01370908 -0.03509247],"[array([-10.01042431,   0.01370908,  -0.03509247])]",0.03909074635020654,600,1,D3-FGM
"[10.0, 0.0, 0.0]",3,0.05,0.0,0.0,0.001,[0.0160375  0.01773393 0.01828843],"[array([-9.9839625 ,  0.01773393,  0.01828843])]",0.03010249466173667,600,1,D3-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[-0.01005763 -0.00477274  0.00760592 -0.01383769],"[array([-1.00100576e+01, -4.77274457e-03,  7.60592069e-03, -1.38376933e-02])]",0.0193201158430345,600,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.01166967  0.00199354  0.00599249 -0.01167151],"[array([-9.98833033e+00,  1.99354049e-03,  5.99249309e-03, -1.16715120e-02])]",0.017671714613633916,600,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.03176381 -0.00897047 -0.0300545  -0.01889944  0.02709051],"[array([-1.00317638e+01, -8.97047258e-03, -3.00545013e-02, -1.88994373e-02,
        2.70905083e-02])]",0.05553166870739109,600,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.01979486  0.04435806  0.01665889  0.00732892 -0.00500908],"[array([-1.00197949e+01,  4.43580569e-02,  1.66588888e-02,  7.32891740e-03,
       -5.00907630e-03])]",0.05211330239549666,600,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[-0.02627791  0.04101563  0.02614178 -0.01149426  0.0443173  -0.00110831],"[array([-1.00262779e+01,  4.10156288e-02,  2.61417822e-02, -1.14942607e-02,
        4.43173046e-02, -1.10831338e-03])]",0.07178839013542418,600,1,D6-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[-0.02921023 -0.01811744 -0.00475362  0.02032823  0.04456932 -0.03878701],"[array([-1.00292102e+01, -1.81174393e-02, -4.75362393e-03,  2.03282298e-02,
        4.45693233e-02, -3.87870107e-02])]",0.0714714614223504,600,1,D6-FGM
[10.0],1,0.05,0.5,0.5,0.001,[0.00362236],"[array([-0.58520204]), array([-0.32663406]), array([-0.28794321]), array([-0.52273297]), array([-0.28849526]), array([-0.57639991]), array([0.01745936]), array([-0.33295188]), array([-0.32327519]), array([-0.25461244]), array([-0.43066864]), array([-0.08733408]), array([-0.40148296]), array([-0.51430319]), array([-0.34900685]), array([-0.52954307]), array([-0.49063907]), array([-0.31585943]), array([-0.44262993]), array([-0.0201759]), array([-0.43323607]), array([-0.37151532]), array([-0.36155424]), array([-0.281693]), array([-0.3487578]), array([-0.44854958]), array([-0.41498977]), array([-0.27365113])]",0.0036223626514164664,600,28,D1-Model
[10.0],1,0.05,0.5,0.5,0.001,[0.00515075],"[array([-0.33220374]), array([0.15360108]), array([-0.24020731]), array([-0.31502896]), array([-0.38502425]), array([0.01101457]), array([-0.33928158]), array([-0.10693768]), array([-0.31921345]), array([-0.1310878]), array([-0.23222286]), array([-0.03634796]), array([-0.04008997]), array([-0.21648914]), array([-0.2294117]), array([-0.38644039]), array([-0.28531199]), array([-0.20104683]), array([-0.09936666]), array([-0.50040007]), array([0.00283954]), array([-0.31308476]), array([-0.14613547]), array([-0.42872034]), array([-0.50016895]), array([-0.33743677]), array([-0.28695201]), array([-0.28130356]), array([-0.17270394]), array([-0.36756313]), array([-0.39217843]), array([0.04420468]), array([-0.03962892]), array([-0.23189134]), array([-0.29270609]), array([-0.41548427]), array([-0.1343571]), array([-0.13327542]), array([0.0849222]), array([-0.08553683]), array([-0.27276369]), array([-0.38080433]), array([-0.10775368]), array([-0.00742633]), array([-0.491198]), array([-0.07624564])]",0.005150751266647546,600,46,D1-Model
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[-0.07640593  0.0031352 ],"[array([-0.28060714,  0.02283659]), array([-0.36957686, -0.04011843]), array([-0.05105373, -0.07145432]), array([-0.3177421 ,  0.23353023]), array([-0.16400954, -0.22730733]), array([-0.288239  ,  0.04596759]), array([-0.29652211, -0.11162597]), array([-0.2984255, -0.0332298]), array([-0.15473845, -0.03143699]), array([-0.36808215, -0.07160936]), array([-0.33397558,  0.05546805]), array([-0.48872497, -0.13183616]), array([-0.17027434, -0.07962557]), array([ 0.06095914, -0.11314437]), array([-0.5445    ,  0.03085774]), array([-0.11928722, -0.0442933 ]), array([-0.02853776, -0.07170245]), array([-0.31784465, -0.06617187]), array([-0.35993843,  0.01946506]), array([-0.31849802,  0.0142394 ]), array([-0.26101097, -0.01514348]), array([-0.41718289, -0.06181606]), array([-0.1932111 ,  0.03986802]), array([-0.1490498,  0.137136 ]), array([-0.18486004,  0.02408714]), array([-0.16332566,  0.49728498]), array([0.06554006, 0.09114662]), array([-0.25832824,  0.10317824]), array([-0.27923015,  0.16986066]), array([-0.22401624,  0.06104503]), array([-0.22640858, -0.06396967]), array([-0.32285531,  0.02784476]), array([-0.26559898, -0.0409012 ]), array([ 0.00643824, -0.04319437]), array([-0.49855915, -0.05504681]), array([-0.55702543,  0.00824007]), array([ 0.03480737, -0.16342781]), array([-0.44018756,  0.03269792]), array([-0.35102574,  0.01687463]), array([-0.18169736, -0.0914382 ])]",0.07647023060563117,600,40,D2-Model
"[10.0, 0.0]",2,0.05,0.5,0.5,0.001,[ 0.05531912 -0.06160557],"[array([-0.15996281, -0.0926971 ]), array([-0.47373981, -0.18964363]), array([-0.45597215,  0.09750605]), array([-0.54833446, -0.11442393]), array([-0.04513192, -0.01178423]), array([-0.6374823 ,  0.00620759]), array([-0.60283872, -0.29135894]), array([-0.47922432,  0.10293919]), array([-0.07491034, -0.02622194]), array([-0.33959305, -0.00932128]), array([-0.0153802 , -0.12856586]), array([-0.47412686,  0.24068893]), array([-0.29952464,  0.04001852]), array([-0.18840539, -0.02032172]), array([-0.19380695, -0.17812806]), array([-0.41655353,  0.00715758]), array([-0.21658082,  0.19466414]), array([-0.15368215, -0.01522483]), array([-0.33738784,  0.14758655]), array([-0.37843293,  0.21159124]), array([-0.17909546,  0.21321671]), array([-0.17600158, -0.07523573]), array([-0.3186401 , -0.09104872]), array([-0.20393177,  0.02413035]), array([-0.20060857,  0.07606356]), array([-0.47233411, -0.12461916]), array([-0.48784608, -0.10171473]), array([-0.24129476, -0.09875016]), array([-0.18813538,  0.10929989]), array([-0.59152364, -0.05683624]), array([-0.27448873,  0.25797312]), array([-0.11970952, -0.16475276])]",0.08279765141417463,600,32,D2-Model
"[10.0, 0.0, 0.0]",3,0.05,0.5,0.5,0.001,[-0.13630752 -0.11632807 -0.21700802],"[array([-0.4715798 , -0.04212148,  0.16341385]), array([-0.22819396,  0.08801168,  0.27807188]), array([-0.06009699, -0.21083398,  0.03981831]), array([ 0.09643991, -0.07955642,  0.13128855]), array([0.18173074, 0.05461175, 0.24040987]), array([-0.33467029,  0.04222473, -0.53537288]), array([-0.63013238,  0.07371563, -0.39661027]), array([-0.43424422,  0.1268166 , -0.26720669]), array([-0.3527133 , -0.37806607,  0.28518258]), array([-0.03669762, -0.10023812, -0.01116611]), array([-0.52027865,  0.12902862, -0.23012468]), array([-0.26917001,  0.16686488,  0.23007855]), array([-0.5139399 ,  0.12872047, -0.37836157]), array([-0.48637703,  0.15860423, -0.37622597]), array([-0.43789574, -0.37059166,  0.31646169]), array([-0.08303346, -0.2332967 ,  0.40287969]), array([ 0.20433726, -0.00456648,  0.11279933]), array([-0.22337086, -0.10897015, -0.11545537]), array([-0.59137978,  0.16145936,  0.27918789]), array([-0.11426669, -0.12394495, -0.09174292]), array([-0.3831707 , -0.32692753,  0.31808681]), array([-0.48105972,  0.11100752, -0.41194479]), array([-0.51309524,  0.14405609, -0.41092564]), array([-0.61304437,  0.14136294, -0.4609344 ]), array([-0.5725262 ,  0.0150328 , -0.39762913]), array([-0.29212573, -0.29992998,  0.3117935 ]), array([-0.11271958,  0.09466176,  0.28951912]), array([-0.44145129,  0.15692699, -0.30620669]), array([-0.48643113, -0.14125294,  0.14249616]), array([-0.57542259,  0.14582299, -0.25025738]), array([0.17924678, 0.04333911, 0.27392388]), array([-0.24217727,  0.24735802,  0.24283703]), array([0.14212965, 0.0693739 , 0.15687036]), array([-0.43892735,  0.0049683 ,  0.20803744])]",0.2814328365363876,600,34,D3-Model
"[10.0, 0.0, 0.0]",3,0.05,0.5,0.5,0.001,[-0.10115593  0.02693774  0.0698795 ],"[array([-0.50987908, -0.10061833, -0.23698395]), array([-0.29388947,  0.10679324, -0.20159408]), array([-0.57831746,  0.07398266, -0.15673064]), array([-0.48973565, -0.07260704, -0.00139   ]), array([-0.22063854, -0.03208532,  0.17613167]), array([-0.35936466,  0.11323512,  0.39412071]), array([-0.58858502,  0.03852261, -0.15145997]), array([-0.48892524, -0.16097548, -0.47601882]), array([-0.46166031,  0.17987348, -0.12515005]), array([-0.05441749,  0.1340181 ,  0.2301434 ]), array([-0.41364816, -0.03247023, -0.01382668]), array([-0.22702839,  0.04581377,  0.47628304]), array([-0.30148702, -0.25260444, -0.29275105]), array([-0.48464275,  0.09744713,  0.03351045]), array([-0.21799078,  0.12726161,  0.41878447]), array([-0.50059178,  0.09854884, -0.07125993]), array([-0.50291136, -0.12432009, -0.25337136]), array([-0.37620008, -0.06724763,  0.02706212]), array([-0.16627747, -0.07245178,  0.1932312 ]), array([-0.39193911, -0.06786958,  0.00757953]), array([-0.38100346, -0.18639301, -0.09846338]), array([-0.44514258, -0.07168591, -0.25889821]), array([-0.14208046, -0.04025995,  0.08015585]), array([-0.38344344, -0.00535826,  0.06785726]), array([-0.78687896,  0.1395506 , -0.11718255]), array([-0.3344772 ,  0.15883764,  0.42010047])]",0.1258622652898963,600,26,D3-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[ 0.01895037 -0.38053783 -0.23110413 -0.20404721],"[array([-0.28827053, -0.15824459,  0.62269347, -0.14761508]), array([-0.79023564, -0.06413868,  0.30541073,  0.15062398]), array([-0.32576277, -0.03331244, -0.07033162, -0.11864108]), array([-0.53050106,  0.16177216, -0.07785603, -0.25107551]), array([-0.3056427 , -0.26107289, -0.01494165,  0.01110319]), array([-0.09652043,  0.11822724, -0.49299833,  0.24867952]), array([-0.17149086,  0.09617668, -0.20095073,  0.22171862]), array([-0.38918896, -0.0238358 , -0.29796561,  0.16479834]), array([-0.47691691, -0.04025441,  0.01456809, -0.16009756]), array([-0.25270092, -0.01343038,  0.03290424,  0.07454725]), array([-0.3809948 ,  0.27513252,  0.0261212 , -0.1204253 ]), array([-0.53352331, -0.22525336,  0.10090358, -0.11546865]), array([-0.48469304, -0.13066325,  0.07046037, -0.20644139]), array([-0.07492913,  0.21288334, -0.1864718 ,  0.27597094]), array([-0.37114198,  0.19030271,  0.08200487, -0.23436053]), array([-0.29607858,  0.01047106, -0.11992751,  0.0195299 ]), array([-0.43218457,  0.25393288,  0.08174741,  0.03576557]), array([-0.42860426, -0.2422631 ,  0.01839404, -0.01567359]), array([-0.55811666, -0.20237333,  0.06128805, -0.19716713]), array([-0.38587128,  0.21913211,  0.00914253, -0.29701369]), array([-0.37553825, -0.08797852, -0.01071215, -0.16636926]), array([-0.40313329, -0.05854948, -0.21321323,  0.11086951]), array([-0.76290302, -0.112177  ,  0.29487272,  0.20320355]), array([-0.12986264, -0.17452186, -0.06798795,  0.0896702 ]), array([-0.51848176, -0.14520227,  0.12860332, -0.11673651]), array([-0.21776228,  0.05470283, -0.32686215,  0.33655748])]",0.4901148185984833,600,26,D4-Model
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.5,0.5,0.001,[-0.38665937  0.26079162 -0.09500754  0.12352486],"[array([-0.4891838 ,  0.41272361,  0.07742768,  0.14635055]), array([-0.30526023, -0.08181755,  0.44873109,  0.21986518]), array([-0.56684228, -0.15449982, -0.0611001 ,  0.1212492 ]), array([ 0.01824365, -0.07099351,  0.46892615, -0.26454371]), array([-0.45477723, -0.08992433, -0.13612888, -0.10238333]), array([-0.45524121,  0.01308227,  0.06717994,  0.0865873 ]), array([ 0.0381386 , -0.03658929,  0.38773176, -0.08508878]), array([-0.23772697, -0.03155329, -0.38332552, -0.11350478]), array([-0.15783732, -0.008878  , -0.49790625, -0.02144646]), array([-0.63310075,  0.18008067,  0.18309682,  0.12119551]), array([-0.07332183,  0.00326458, -0.64349958,  0.08169429]), array([-0.64823231,  0.15415067,  0.10703882, -0.02631992]), array([-0.44965466, -0.18078344, -0.29499308, -0.13695501]), array([-0.27326352, -0.07289085,  0.05719346,  0.04585878]), array([-0.15237324, -0.21294181,  0.50286491, -0.21530501]), array([-0.44162586,  0.31444708, -0.08780824,  0.14094024]), array([-0.34608588,  0.14182893, -0.0186186 ,  0.27298296]), array([-0.49201095, -0.09624228, -0.14757285,  0.16729876]), array([-0.06372421,  0.02175431, -0.50817051, -0.06056719]), array([-0.12504297, -0.21144275,  0.49177568, -0.20369841]), array([-0.4291857 , -0.16519426, -0.21366515, -0.24098843]), array([-0.38947311,  0.24940992, -0.09371468,  0.24497991]), array([-0.60342721,  0.07937116,  0.13885906,  0.01496159]), array([-0.44459047,  0.09539623,  0.03859111,  0.04400659]), array([-0.40283537, -0.12149009, -0.29571766, -0.19562164]), array([-0.40662537, -0.0037291 ,  0.12398252,  0.04071333]), array([-0.47340605,  0.03571634,  0.03431448,  0.12793203]), array([-0.40503147,  0.16020242, -0.05963288,  0.23392156]), array([-0.44426619, -0.00453651, -0.25285801, -0.15660314]), array([-0.07889547, -0.05712968,  0.47199096, -0.16398714])]",0.4917342334092719,600,30,D4-Model
