Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.05,0.0,0.0,0.001,[2.08192195e-05],[array([-9.99997918])],2.0819219535894717e-05,468,1,D1-FGM
[10.0],1,0.05,0.0,0.0,0.001,[0.00065103],[array([-9.99934897])],0.0006510306105305119,554,1,D1-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[0.00447701 0.00338933],"[array([-9.99552299e+00,  3.38932921e-03])]",0.005615260114169524,600,1,D2-FGM
"[10.0, 0.0]",2,0.05,0.0,0.0,0.001,[-0.00056821  0.00217921],"[array([-1.00005682e+01,  2.17920663e-03])]",0.002252065635956906,600,1,D2-FGM
"[10.0, 0.0, 0.0]",3,0.05,0.0,0.0,0.001,[-0.01022786 -0.00461761 -0.00092004],"[array([-1.00102279e+01, -4.61760678e-03, -9.20039220e-04])]",0.0112595648180611,600,1,D3-FGM
"[10.0, 0.0, 0.0]",3,0.05,0.0,0.0,0.001,[ 0.01723259 -0.01719111  0.01003012],"[array([-9.98276741, -0.01719111,  0.01003012])]",0.02632679124703549,600,1,D3-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[-0.0133606   0.03924932 -0.03396741 -0.03211063],"[array([-10.0133606 ,   0.03924932,  -0.03396741,  -0.03211063])]",0.06248113422487084,600,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0]",4,0.05,0.0,0.0,0.001,[ 0.0088322  -0.01122393  0.01848454 -0.03161196],"[array([-9.9911678 , -0.01122393,  0.01848454, -0.03161196])]",0.039306215838377234,600,1,D4-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[-0.01556009  0.00574431 -0.04797075  0.00039916  0.01796734],"[array([-1.00155601e+01,  5.74430605e-03, -4.79707491e-02,  3.99155409e-04,
        1.79673377e-02])]",0.053845062537527966,600,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0]",5,0.05,0.0,0.0,0.001,[ 0.01094621 -0.06418055  0.00875163  0.05056061 -0.06862819],"[array([-9.98905379e+00, -6.41805546e-02,  8.75162873e-03,  5.05606073e-02,
       -6.86281916e-02])]",0.10761857545019901,600,1,D5-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[-0.00831693  0.02105853 -0.00732067 -0.01603922  0.04677578 -0.00162001],"[array([-1.00083169e+01,  2.10585282e-02, -7.32066734e-03, -1.60392181e-02,
        4.67757823e-02, -1.62000931e-03])]",0.05490063683686845,600,1,D6-FGM
"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0.05,0.0,0.0,0.001,[0.0096388  0.00144318 0.03576406 0.01555202 0.02986676 0.01871546],"[array([-9.99036120e+00,  1.44317602e-03,  3.57640649e-02,  1.55520249e-02,
        2.98667621e-02,  1.87154577e-02])]",0.0534622748851967,600,1,D6-FGM
