Inicial point,Dimensions,Mutation rate,Dup rate,Del. rate,Epsilon,Best phenotype,Best genotype,Distance to optimum,Total generations,Gen size,PlotName
[10.0],1,0.05,0.0,0.0,0.001,[0.06270598],[array([-9.93729402])],0.06270597545672452,500,1,plot1D1-FGM
[10.0],1,0.05,0.0,0.0,0.001,[-0.02009716],[array([-10.02009716])],0.02009716012811502,500,1,plot1D2-FGM
[10.0],1,0.05,0.0,0.0,0.001,[0.18935888],[array([-9.81064112])],0.18935887975153953,500,1,plot1D3-FGM
[10.0],1,0.05,0.0,0.0,0.001,[-0.00332638],[array([-10.00332638])],0.0033263764694098086,500,1,plot1D4-FGM
[10.0],1,0.05,0.0,0.0,0.001,[0.00087964],[array([-9.99912036])],0.0008796406687245906,487,1,plot1D5-FGM
[10.0],1,0.05,0.0,0.0,0.001,[0.43192121],[array([-9.56807879])],0.43192121028547525,500,1,plot1D6-FGM
[10.0],1,0.05,0.5,0.5,0.001,[0.00261908],"[array([-0.17804719]), array([0.20627229]), array([-0.22020196]), array([-0.20369083]), array([0.16592724]), array([-0.3757809]), array([-0.03872697]), array([-0.17272518]), array([-0.44088336]), array([-0.55065487]), array([0.02715426]), array([0.01971323]), array([-0.12223396]), array([-4.54011846e-05]), array([0.31392458]), array([-0.13071462]), array([-0.2458747]), array([-0.44983688]), array([-0.06403808]), array([-0.35989096]), array([-0.53099852]), array([-0.0187902]), array([-0.19937418]), array([-0.1358102]), array([0.27965263]), array([-0.39934738]), array([-0.21211847]), array([-0.4512582]), array([-0.58711447]), array([-0.2918745]), array([-0.51817258]), array([-0.14256248]), array([0.17604606]), array([-0.18702044]), array([-0.12832191]), array([0.28461042]), array([-0.14256603]), array([-0.25498211]), array([0.26563772]), array([-0.17304877]), array([-0.12835212]), array([-0.4213892]), array([-0.29803501]), array([-0.200172]), array([-0.36312093]), array([0.25875348]), array([-0.10997583]), array([-0.06956183]), array([-0.22929579]), array([-0.16463113]), array([0.12566269]), array([-0.29747582]), array([0.20915286]), array([0.28350425]), array([-0.36326144]), array([-0.0792225]), array([0.20796723]), array([-0.1162998]), array([-0.18917248]), array([-0.47830287]), array([-0.33409421]), array([-0.12505478]), array([0.3031112]), array([-0.00322109]), array([-0.31452142]), array([-0.00360409]), array([-0.30302818]), array([0.27217299]), array([-0.19700378]), array([-0.0889393]), array([0.07495085]), array([-0.3879927]), array([-0.18765198]), array([0.26537057]), array([0.03183427]), array([-0.38871312])]",0.0026190830829158074,500,76,plot1D1-Model
[10.0],1,0.05,0.5,0.5,0.001,[0.00708297],"[array([-0.0560507]), array([-0.39343318]), array([-0.47805434]), array([-0.34225129]), array([-0.43745729]), array([-0.24952363]), array([-0.32640253]), array([0.03766328]), array([-0.32861588]), array([-0.42576466]), array([-0.35291328]), array([-0.45546875]), array([-0.40545467]), array([-0.15491144]), array([-0.44072492]), array([-0.03390384]), array([-0.43205836]), array([-0.06774927]), array([-0.22420954]), array([-0.27178972]), array([-0.0525088]), array([-0.07846652]), array([-0.01331766]), array([-0.43144903]), array([-0.52190809]), array([-0.18348283]), array([0.21127056]), array([-0.02071338]), array([0.04621599]), array([-0.39124355]), array([0.10250814]), array([0.03668646]), array([-0.41749163]), array([-0.54041938]), array([-0.26900002]), array([0.08009647]), array([-0.25441451]), array([-0.15891781]), array([-0.55600954]), array([-0.10052245]), array([-0.45412584]), array([-0.04495572]), array([-0.4016218]), array([0.2599479])]",0.007082972113780173,500,44,plot1D2-Model
[10.0],1,0.05,0.5,0.5,0.001,[-0.00037379],"[array([-0.36756129]), array([-0.43220445]), array([-0.17034452]), array([-0.20897077]), array([-0.32659044]), array([-0.24124704]), array([-0.2531372]), array([-0.32276174]), array([-0.33614689]), array([-0.4532799]), array([-0.33696385]), array([-0.49235229]), array([-0.38687427]), array([-0.36996452]), array([-0.23616714]), array([-0.09752255]), array([-0.44824499]), array([-0.37378439]), array([-0.41053397]), array([-0.45519693]), array([-0.26095036]), array([-0.4054528]), array([-0.19761329]), array([-0.28665372]), array([-0.22411366]), array([-0.21662446]), array([-0.2580975]), array([-0.23190012]), array([-0.20379278]), array([-0.29740045]), array([-0.39617846]), array([-0.30174703])]",0.0003737872480620297,265,32,plot1D3-Model
[10.0],1,0.05,0.5,0.5,0.001,[0.00100939],"[array([0.04360166]), array([-0.39279281]), array([-0.03804629]), array([-0.22597418]), array([0.00822832]), array([-0.35238631]), array([-0.28002487]), array([-0.34284161]), array([-0.52599441]), array([-0.41048567]), array([-0.41295723]), array([-0.20568226]), array([-0.33221057]), array([-0.55790317]), array([-0.13830015]), array([-0.45397722]), array([-0.26294753]), array([-0.54057907]), array([-0.61161492]), array([-0.51966111]), array([-0.33575576]), array([-0.39291423]), array([-0.26999551]), array([-0.0558365]), array([-0.57325631]), array([-0.46005137]), array([-0.42752851]), array([-0.27001168]), array([-0.38475923]), array([-0.2763321])]",0.0010093920153284586,500,30,plot1D4-Model
[10.0],1,0.05,0.5,0.5,0.001,[-0.00010793],"[array([-0.10257844]), array([-0.38333999]), array([-0.44149756]), array([-0.43943529]), array([-0.3157748]), array([-0.20610719]), array([-0.1463166]), array([-0.11647781]), array([-0.09608675]), array([-0.23948376]), array([-0.0616313]), array([-0.34789523]), array([-0.26358716]), array([-0.4751281]), array([0.02571634]), array([0.03447181]), array([-0.16295498]), array([-0.18488623]), array([-0.15544359]), array([-0.19210097]), array([-0.34798569]), array([-0.3822316]), array([-0.32203982]), array([-0.32500329]), array([-0.230418]), array([-0.31145907]), array([-0.27779768]), array([-0.18269065]), array([0.00219069]), array([-0.33347409]), array([-0.22868943]), array([-0.13581938]), array([-0.15790738]), array([-0.27232709]), array([-0.23268483]), array([-0.25834098]), array([-0.28616198]), array([-0.11650397]), array([-0.25995477]), array([-0.30469787]), array([-0.31939103]), array([-0.44618242])]",0.00010793480399939881,177,42,plot1D5-Model
